Experiment,Model,Accuracy,Precision,Recall,F1,ROC_AUC,SPD,EOD,DI
,LogisticRegression,0.8589,0.7594,0.6345,0.6913,0.918,0.1755,0.0732,0.3356
,DecisionTree,0.8155,0.6312,0.6232,0.6271,0.7512,0.1815,0.0894,0.4026
,RandomForest,0.856,0.7448,0.6411,0.6891,0.9083,0.1832,0.0811,0.3286
,XGBoost,0.8752,0.8008,0.6638,0.7259,0.9358,0.1715,0.06,0.3433
NoSex,LogisticRegression_NoSex,0.8588,0.7608,0.6312,0.69,0.9168,0.1702,0.0632,0.3476
NoSex,DecisionTree_NoSex,0.813,0.6245,0.6245,0.6245,0.75,0.1732,0.0822,0.431
NoSex,RandomForest_NoSex,0.8561,0.7405,0.6498,0.6922,0.908,0.1764,0.0694,0.3584
NoSex,XGBoost_NoSex,0.874,0.7982,0.6611,0.7232,0.9354,0.1682,0.0569,0.3529
NoDemographic,LogisticRegression_NoDemo,0.8596,0.766,0.6278,0.6901,0.9155,0.1917,0.15,0.2774
NoDemographic,DecisionTree_NoDemo,0.8182,0.6326,0.6431,0.6378,0.7597,0.1846,0.0877,0.4086
NoDemographic,RandomForest_NoDemo,0.8548,0.7404,0.6418,0.6876,0.9043,0.1885,0.0924,0.3173
NoDemographic,XGBoost_NoDemo,0.8773,0.8098,0.6631,0.7291,0.9339,0.1823,0.1174,0.3045
Reweighing,LogisticRegression_Reweighing,0.8493,0.7523,0.5885,0.6604,0.9105,0.0821,0.1657,0.6286
Reweighing,RandomForest_Reweighing,0.8555,0.7401,0.6465,0.6901,0.9092,0.1833,0.0767,0.3361
Reweighing,XGBoost_Reweighing,0.8707,0.8044,0.6352,0.7098,0.9314,0.0893,0.1586,0.6033
ExpGrad,LogisticRegression_ExpGrad,0.8409,0.7523,0.5379,0.6273,0.745,0.0133,0.3096,0.9272
