Experiment,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,SPD,EOD,DI,Female_Selection_Rate,Male_Selection_Rate
KFold,XGBoost_Baseline,1,0.870213823968175,0.7738004569687738,0.6764314247669774,0.7218472468916519,0.9307694206591608,0.19111209209777275,0.09141325006787948,0.31383247981314955,0.08740894901144641,0.27852104110921916
KFold_Reweighing,XGBoost_Reweighing,1,0.8659041936018564,0.7792103142626914,0.6438082556591211,0.7050674444039373,0.9271703791692736,0.10029815188356611,0.16637252240021716,0.5779675512862433,0.13735691987513007,0.23765507175869618
KFold,XGBoost_Baseline,2,0.8700480689540858,0.7885852090032154,0.6531291611185086,0.7144938091769847,0.9290637569681975,0.1947290363145971,0.08673066020817832,0.27829439278294393,0.07508878741755454,0.26981782373215163
KFold_Reweighing,XGBoost_Reweighing,2,0.8637493784186971,0.7871621621621622,0.6205059920106525,0.6939687267311988,0.9237253293703003,0.12344242625904267,0.1072746695873843,0.47822774665532636,0.11314053779807204,0.2365829640571147
KFold,XGBoost_Baseline,3,0.8687002652519894,0.7767369242779079,0.6628914057295137,0.715312724658519,0.9250414385701228,0.18282960716932653,0.07369242779078844,0.32659961474907806,0.08867247565351102,0.27150208282283755
KFold_Reweighing,XGBoost_Reweighing,3,0.8609084880636605,0.7853448275862069,0.6069287141905396,0.6847049981210072,0.9198093641978695,0.09484514692293963,0.12503370945993897,0.5746559949532785,0.12813941568426448,0.22298456260720412
KFold,XGBoost_Baseline,4,0.8687002652519894,0.7771696637998436,0.6622251832111925,0.7151079136690648,0.9242299439599673,0.1795165926819562,0.10486835568802777,0.3330155865393985,0.08963001563314227,0.26914660831509846
KFold_Reweighing,XGBoost_Reweighing,4,0.8622347480106101,0.7824620573355818,0.6182544970019986,0.6907331596576107,0.9189778726196071,0.09958763928909303,0.11176282733659781,0.5637870496314807,0.12871287128712872,0.22830051057622175
KFold,XGBoost_Baseline,5,0.8746684350132626,0.7965023847376789,0.6671105193075899,0.7260869565217392,0.9302725872493776,0.1965970674554849,0.14221078574930646,0.28342958065498564,0.07776126795443289,0.2743583354099178
KFold_Reweighing,XGBoost_Reweighing,5,0.8715185676392573,0.8036758563074352,0.640479360852197,0.712856613560578,0.9276959638803891,0.11885974347609989,0.08226363190644326,0.5010626040067062,0.11936602278355622,0.2382257662596561
